                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6097,                 3.4661,                  3.722,                0.03946,                0.02885,                0.01322,                0.00354,                 3.2629,                 3.3454,                 3.4186,               0.070024,              0.0033306,              0.0033306
                      2,                 3.2266,                 3.2559,                 3.3253,                0.08542,                0.04203,                0.02306,                0.00586,                 3.0837,                 3.2327,                 3.1774,               0.040002,               0.006642,               0.006642
                      3,                 2.9898,                 3.2346,                 3.0792,                0.11305,                0.09799,                0.03856,                0.01039,                 2.9384,                  3.167,                 3.0959,              0.0099582,              0.0099313,              0.0099313
                      4,                 2.6738,                 3.0818,                 2.8169,                0.11702,                0.11539,                0.04345,                0.01501,                 2.6294,                 3.0768,                 2.7938,               0.009901,               0.009901,               0.009901
                      5,                 2.4377,                 2.9051,                  2.594,                0.19455,                0.12783,                0.08642,                0.02945,                 2.5125,                 2.7968,                 2.6534,               0.009868,               0.009868,               0.009868
                      6,                   2.31,                 2.7822,                 2.4658,                0.23925,                0.18826,                0.12548,                0.04442,                 2.3625,                 2.6479,                 2.5179,               0.009835,               0.009835,               0.009835
                      7,                 2.2288,                 2.6778,                 2.3715,                0.27471,                0.19721,                0.14548,                0.05417,                 2.3287,                 2.5653,                  2.474,               0.009802,               0.009802,               0.009802
                      8,                 2.1428,                 2.5818,                 2.2817,                0.32434,                0.23781,                0.19377,                0.07344,                 2.2277,                 2.4594,                   2.39,               0.009769,               0.009769,               0.009769
                      9,                 2.0783,                 2.5151,                 2.2428,                0.33651,                0.23626,                0.20021,                0.08284,                 2.1454,                 2.4207,                 2.3393,               0.009736,               0.009736,               0.009736
                     10,                  2.049,                 2.4515,                 2.1815,                0.36955,                0.24049,                 0.2231,                 0.0951,                 2.1143,                 2.3586,                 2.2788,               0.009703,               0.009703,               0.009703
                     11,                 1.9871,                 2.3967,                 2.1444,                0.39332,                0.27307,                 0.2513,                0.10516,                 2.0607,                 2.3104,                 2.2148,                0.00967,                0.00967,                0.00967
                     12,                 1.9677,                 2.3509,                 2.1198,                0.41693,                0.26354,                0.25849,                0.10966,                 2.0624,                 2.2963,                 2.2246,               0.009637,               0.009637,               0.009637
                     13,                 1.9185,                 2.3144,                 2.0785,                0.44083,                0.27978,                0.28143,                0.11908,                 2.0346,                 2.2286,                 2.1617,               0.009604,               0.009604,               0.009604
                     14,                  1.906,                 2.2787,                 2.0663,                0.45337,                0.29744,                0.29967,                0.13537,                 1.9661,                 2.1511,                 2.1144,               0.009571,               0.009571,               0.009571
