                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6216,                 1.8122,                 1.7892,                0.60897,                0.40637,                0.45955,                 0.2422,                 1.6811,                 1.7025,                 1.8478,               0.008878,               0.008878,               0.008878
                     36,                 1.6233,                  1.798,                 1.7801,                0.59851,                0.42104,                0.47652,                0.24961,                 1.6641,                 1.6745,                 1.8228,               0.008845,               0.008845,               0.008845
                     37,                  1.615,                 1.7824,                 1.7789,                0.61449,                0.42104,                0.47609,                0.25402,                 1.6687,                 1.6678,                 1.8102,               0.008812,               0.008812,               0.008812
                     38,                 1.5937,                 1.7845,                 1.7685,                0.61831,                0.40568,                0.46702,                0.25039,                 1.6619,                 1.6794,                  1.806,               0.008779,               0.008779,               0.008779
                     39,                 1.5864,                  1.762,                 1.7537,                0.61325,                0.41756,                0.47551,                0.25551,                 1.6435,                 1.6412,                  1.789,               0.008746,               0.008746,               0.008746
                     40,                  1.585,                 1.7571,                 1.7577,                0.62431,                0.41203,                0.47976,                0.25815,                 1.6319,                 1.6346,                 1.7843,               0.008713,               0.008713,               0.008713
                     41,                 1.5892,                  1.753,                 1.7556,                0.62551,                0.42651,                0.48932,                 0.2641,                 1.6127,                 1.6194,                 1.7589,                0.00868,                0.00868,                0.00868
                     42,                  1.583,                 1.7578,                 1.7562,                 0.6199,                0.43148,                 0.4909,                0.26813,                 1.6065,                 1.6153,                 1.7682,               0.008647,               0.008647,               0.008647
                     43,                  1.568,                 1.7272,                 1.7404,                0.63512,                0.42303,                0.49264,                0.27086,                 1.6138,                 1.5886,                  1.758,               0.008614,               0.008614,               0.008614
                     44,                 1.5563,                  1.713,                 1.7357,                0.62736,                0.42624,                0.48752,                0.26665,                 1.6259,                 1.6021,                 1.7731,               0.008581,               0.008581,               0.008581
                     45,                 1.5525,                 1.6949,                 1.7341,                0.61313,                0.44168,                0.49837,                0.27168,                 1.5883,                 1.5824,                 1.7518,               0.008548,               0.008548,               0.008548
                     46,                 1.5418,                   1.68,                 1.7219,                0.63416,                0.44094,                0.50428,                0.27987,                 1.5731,                 1.5633,                 1.7373,               0.008515,               0.008515,               0.008515
                     47,                 1.5505,                 1.6938,                 1.7255,                0.64837,                0.43447,                0.50502,                0.28074,                 1.5875,                 1.5574,                  1.742,               0.008482,               0.008482,               0.008482
                     48,                 1.5432,                 1.6857,                 1.7138,                0.62292,                0.43969,                0.49606,                0.27744,                 1.5794,                 1.5571,                 1.7328,               0.008449,               0.008449,               0.008449
                     49,                 1.5303,                 1.6693,                 1.7141,                0.63234,                0.44118,                0.50671,                0.28338,                 1.5825,                 1.5544,                 1.7356,               0.008416,               0.008416,               0.008416
                     50,                 1.5408,                 1.6561,                 1.7149,                0.62859,                 0.4484,                0.51065,                0.28438,                  1.575,                 1.5487,                 1.7279,               0.008383,               0.008383,               0.008383
                     51,                 1.5234,                 1.6534,                 1.6977,                0.63881,                0.44512,                 0.5118,                0.28686,                 1.5608,                 1.5323,                 1.7155,                0.00835,                0.00835,                0.00835
                     52,                 1.5322,                 1.6481,                 1.7087,                0.64673,                0.44218,                0.51108,                0.28603,                 1.5776,                 1.5293,                 1.7385,               0.008317,               0.008317,               0.008317
                     53,                  1.523,                 1.6621,                 1.6946,                0.64771,                0.43986,                0.50975,                0.28622,                 1.5579,                 1.5314,                  1.718,               0.008284,               0.008284,               0.008284
                     54,                 1.5272,                 1.6374,                 1.6977,                0.66504,                  0.436,                0.51751,                0.29192,                 1.5437,                   1.52,                 1.7019,               0.008251,               0.008251,               0.008251
                     55,                 1.5176,                 1.6447,                 1.6923,                 0.6492,                 0.4484,                0.52145,                0.29501,                 1.5501,                 1.5113,                 1.7153,               0.008218,               0.008218,               0.008218
                     56,                 1.5051,                  1.649,                 1.6956,                0.64997,                0.44666,                0.52184,                0.29423,                 1.5384,                 1.5078,                 1.6987,               0.008185,               0.008185,               0.008185
                     57,                 1.4997,                 1.6165,                 1.6843,                0.67364,                0.45362,                0.53414,                0.30146,                 1.5418,                 1.4828,                 1.7046,               0.008152,               0.008152,               0.008152
                     58,                 1.4953,                 1.5974,                 1.6761,                0.66203,                0.45461,                0.53125,                0.30079,                 1.5341,                  1.491,                 1.6784,               0.008119,               0.008119,               0.008119
                     59,                 1.5044,                  1.597,                 1.6715,                0.64711,                0.45213,                0.52423,                0.29624,                 1.5348,                 1.4936,                 1.6906,               0.008086,               0.008086,               0.008086
                     60,                 1.4796,                 1.5945,                  1.677,                0.66626,                0.46257,                0.53579,                0.30323,                 1.5281,                 1.4635,                 1.6823,               0.008053,               0.008053,               0.008053
                     61,                 1.4706,                 1.5886,                 1.6673,                0.66826,                0.45188,                0.53229,                0.30014,                 1.5394,                 1.4626,                 1.6948,                0.00802,                0.00802,                0.00802
                     62,                 1.4799,                 1.5887,                 1.6675,                0.65628,                0.46456,                0.54264,                0.31027,                 1.5187,                 1.4527,                 1.6769,               0.007987,               0.007987,               0.007987
                     63,                 1.4639,                 1.5718,                 1.6678,                0.66816,                0.46406,                0.54319,                 0.3092,                 1.5172,                 1.4419,                 1.6731,               0.007954,               0.007954,               0.007954
                     64,                 1.4794,                 1.5675,                 1.6603,                0.65573,                0.47748,                 0.5423,                0.30851,                  1.514,                 1.4449,                 1.6793,               0.007921,               0.007921,               0.007921
                     65,                 1.4846,                 1.5761,                 1.6636,                0.64622,                0.47078,                0.54767,                0.31742,                 1.4947,                 1.4256,                 1.6591,               0.007888,               0.007888,               0.007888
                     66,                 1.4665,                 1.5515,                 1.6512,                  0.652,                0.47302,                0.54829,                0.31568,                 1.4967,                 1.4163,                 1.6624,               0.007855,               0.007855,               0.007855
                     67,                 1.4593,                 1.5496,                 1.6442,                0.69412,                0.46307,                0.55192,                0.31874,                 1.5032,                  1.411,                 1.6612,               0.007822,               0.007822,               0.007822
                     68,                  1.446,                 1.5347,                 1.6477,                0.68097,                0.46431,                0.54716,                0.31552,                 1.5013,                  1.431,                 1.6613,               0.007789,               0.007789,               0.007789
                     69,                 1.4675,                 1.5555,                 1.6536,                0.67293,                0.46232,                0.54561,                0.31483,                 1.5002,                 1.4285,                  1.658,               0.007756,               0.007756,               0.007756
                     70,                 1.4597,                 1.5415,                 1.6358,                0.66167,                0.47033,                0.54804,                0.31583,                 1.4928,                 1.4146,                 1.6518,               0.007723,               0.007723,               0.007723
                     71,                 1.4419,                 1.5144,                 1.6353,                0.66778,                 0.4755,                0.55116,                0.31894,                 1.4956,                   1.41,                 1.6642,                0.00769,                0.00769,                0.00769
                     72,                 1.4385,                 1.5204,                 1.6403,                0.66571,                 0.4809,                0.55355,                0.32064,                 1.4842,                 1.4052,                 1.6443,               0.007657,               0.007657,               0.007657
                     73,                 1.4338,                 1.5166,                 1.6364,                0.65897,                0.47202,                0.55309,                0.32003,                 1.4941,                 1.3968,                 1.6496,               0.007624,               0.007624,               0.007624
                     74,                 1.4566,                 1.5203,                 1.6333,                0.68757,                0.47401,                0.56021,                0.32426,                 1.4819,                 1.3838,                 1.6526,               0.007591,               0.007591,               0.007591
                     75,                 1.4369,                    1.5,                 1.6281,                0.67169,                0.47923,                0.55389,                0.32125,                 1.4874,                 1.3959,                 1.6539,               0.007558,               0.007558,               0.007558
                     76,                 1.4403,                 1.4952,                 1.6217,                0.66617,                0.48769,                0.56223,                0.32287,                 1.4855,                 1.3749,                 1.6467,               0.007525,               0.007525,               0.007525
                     77,                 1.4387,                 1.5004,                 1.6231,                0.66885,                0.48545,                0.56074,                0.32464,                 1.4712,                 1.3701,                 1.6335,               0.007492,               0.007492,               0.007492
                     78,                 1.4341,                 1.5052,                 1.6309,                0.69517,                0.47426,                0.56217,                 0.3271,                 1.4794,                 1.3801,                 1.6458,               0.007459,               0.007459,               0.007459
                     79,                 1.4257,                 1.4819,                 1.6093,                 0.6895,                0.48421,                0.56703,                0.33133,                 1.4679,                 1.3686,                 1.6415,               0.007426,               0.007426,               0.007426
                     80,                 1.4085,                 1.4765,                 1.6141,                0.67846,                0.49747,                 0.5696,                0.33161,                 1.4674,                 1.3542,                 1.6343,               0.007393,               0.007393,               0.007393
                     81,                 1.4196,                 1.4947,                 1.6136,                0.67275,                0.48272,                0.56585,                 0.3299,                 1.4652,                 1.3532,                 1.6343,                0.00736,                0.00736,                0.00736
                     82,                 1.4161,                 1.4676,                  1.615,                0.69464,                0.48819,                0.56928,                0.33582,                 1.4591,                 1.3478,                  1.624,               0.007327,               0.007327,               0.007327
                     83,                 1.4107,                 1.4563,                 1.6091,                0.69113,                 0.4857,                0.56674,                0.33153,                 1.4634,                  1.352,                 1.6335,               0.007294,               0.007294,               0.007294
